Ginger|5.0|5.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0
Kristal Oden|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5.0|0|0|0|5.0|0|0|0|0|0|0|0|0|5.0|0|0|0|0
NS Phoenix|0|0|0|4.0|0|0|0|0|5.0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5.0|0|0|0|0|0|0|0|0|0|0|0
Katrina|0|5.0|5.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|5.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
MJ|0|0|4.0|4.0|0|5.0|2.0|4.0|0|0|0|0|0|0|3.0|0|0|0|0|0|1.0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Bianca|0|0|0|0|0|0|0|0|0|0|0|0|5.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5.0|0|0|0|0|0|0|0|0|0|5.0|0|0|0|0
NH|0|0|0|0|2.0|0|0|0|0|5.0|0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|4.0|0|0|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
DSac|0|0|0|0|0|0|0|0|0|0|0|0|0|5.0|0|4.0|0|0|0|0|0|4.0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Peggy|0|5.0|5.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Pamela A. Charyszyn|0|0|0|0|0|0|5.0|0|0|0|5.0|0|0|0|0|0|0|0|0|0|5.0|0|5.0|0|0|5.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
