"The Emoji Movie","Meh-","M. Watts","I was really excited about the emoji movie! I took my son to the theater to see it. It was so boring. I wanted to like it, but I just didn't. It wasn't anything I expected and it reminded me too much of ""Wreck it Ralph"". My 6 year old likes it, but I personally did not/do not enjoy it.","2.0 "
"The Emoji Movie","Anna plays the pudding well","Leper Khan","Anna Faris was really cute in this movie.  I think she played the part of small brown pile of pudding.  My do they have an emoji for pudding anyway?  I love love love pudding.","3.0 "
"The Emoji Movie","Good movie for a 5 year old.","Love2Read","I need to clarify my review.  I gave it the number of stars a 50+ person who watched it thought it should receive.  If I would have asked my nephew, who is 5, how many stars it should receive, he would have given it 5 stars.  There isn't much to say about this movie because the title says it all.  It's a movie about emoji's.  Yes, someone actually made a movie about emoji's.  It was kind of cute at times and there wasn't any vulgar language or adult situations.","3.0 "
"The Emoji Movie","its cute has funny parts. Not the best movie or plot I ...","Amazon Customer","Ok movie, its cute has funny parts. Not the best movie or plot I have ever seen. Cute to rent and my kids seemed to enjoy it but haven't ever asked to watch it again.","3.0 "
"The Emoji Movie","As bad as they say...","Anonymous332","There is no story line and the jokes are not great, even for kids. It really is as bad as people and other reviewers have said. My children loved the characters because they are familiar to them but, overall, even they could not tell what exactly the movie is supposed to be about. It could have been a cute concept, but unfortunately it was a terrible waste of my money to rent.","1.0 "
"The Emoji Movie","Decent movie","Jason Hill","Mildly funny movie. For some reason, I expected more from this movie. Hearing Sir Patrick Stewart voicing the Poo emoji was pretty cool though.","4.0 "
"The Emoji Movie","Literally one of the worst movies I have ever seen","Paul F.","It won't be long until this movie is the primary tool used in Guantanamo Bay. Simply awful. Save your time and your money. Garbage, although that might be insulting to garbage.","1.0 "
"The Emoji Movie","Geared toward IT savy folks.","Christina Denton","I'm an IT person so the movie was cute and funny.If you are not computer/phone or IT savy, the moving may be boring or there will be parts that you wonder what they are talking about.","4.0 "
"The Emoji Movie","Not that funny for adults","Chantel","Kid loves it. Not that funny for adults.","3.0 "
"The Emoji Movie","Entertaining enough","sp4rkl3z","Everyone said this was a terrible movie but I enjoyed it and my kids loved it. They range from age 2-8. Not much substance but we watched the rental a few times while we had it.","4.0 "
"The Emoji Movie","Five Stars","Gray","This was a good movie.  I quite enjoyed it.  Definitely would recommend!","5.0 "
"The Emoji Movie","I. Hated. Absolutely. Everything. About. This. Movie.","Nathaniel P. Parrello","The story has been done. Better. The animation is middle of the road at best. The music is nothing special. The characters run a gamut from uninteresting to outright annoying. The villain was found in a discount evil catalog, and the premise is designed solely to destroy your faith in humanity. Inside of the first five minutes, I realized I hated absolutely everything about this movie, and my little sister had to force me to finish it.My opinion never changed.","1.0 "
"The Emoji Movie","but I usually love animated films","Kate","I understand that, as an adult, I am not this film's target demographic, but I usually love animated films.  Most of my favorite movies are animated films, in fact.  This movie, however is straight-up garbage.  It's a laser-stream of hot diarrhea going directly into the viewer's eyeballs.","1.0 "
"The Emoji Movie","i thought i repressed these memories","oh god why","I could actually feel my brain cells dying. I hope to repress this along with other traumatic childhood memories. Clearly written by a stranger to emoji and teen culture. The cliche was suffocating. If you want to cause yourself physical pain, I strongly recommend. Causes lasting trauma and psychological damage. Sent me into a depressive spiral. The characters disturbing dependence on technology to the point where the malfunction of such resulted in the deterioration of their social life was depressing. I know now my crush won't go out with me unless I buy the iPhone X.","1.0 "
"The Emoji Movie","My kids love it but I'm going to have to drag out ...","Jessica J Boucher","My kids love it but I'm going to have to drag out the good movies from my childhood to set them straight.","3.0 "
"The Emoji Movie","4 year old loved it. 12 year old thought it was stupid","Marti Krisle","4 year old loved it.  12 year old thought it was stupid.  Wasn't the best movie of the year by any means.  Somewhat entertaining.","4.0 "
"The Emoji Movie","NOT ENTERTAINING IN THE LEAST","Caroline Ashley","Even my very young grandson wasn’t entertained by this movie.....don’t waste your money....or your time.  I wish there was a “refund” available for movie purchases - we watched less than 15 minutes of it.","1.0 "
"The Emoji Movie","Mediocre movie","1frugalmom","I didn't have high expectations for this movie,  and it was even more lackluster than I imagined it would be.","2.0 "
"The Emoji Movie","One Star","Larry","Watching this was the biggest mistake of my life, who ever made this has an IQ lower than 0","1.0 "
"The Emoji Movie","Five Stars","Vicky Hunt","My grandchildren enjoyed this movie. Being an adult I found it funny.","5.0 "
"The Emoji Movie","Four Stars","natasha","Super fun and funny! Great movie for some family and popcorn for sure!","4.0 "
"The Emoji Movie","Patrick Stewart must have needed the cash, there is no other excuse.","K. Goldman","This  is a pointless movie, the kids liked it, but it really has no story, is only mildly amusing in places, and goes on and on.  Could have been a ""short"" and might have been better.","3.0 "
"The Emoji Movie","I already have these apps, I didn't need to watch this commercial.","Q&D","I wasn't expecting this movie to be great, just cute and fun. I just feel like I paid to watch a really long commercial and not even like one of those Super Bowl commercials that give you feels and make you cry and say ""That was a really good commercial."" Sorry, Patrick Stewart, I wanted to like your movie. We're still cool.","2.0 "
"The Emoji Movie","Boring","Jward","Kind of a dumb movie. My kids were even bored with it.","2.0 "
"The Emoji Movie","My 7 year old absolutely loves this movie. Specially ...","Val","My 7 year old absolutely loves this movie.  Specially the fact that he can take it anywhere we go; if we’ee driving far, and put it inside the cars DVD player and watch it.  He won’t even notice how long the ride really is cause he loves it that much.","5.0 "
"The Emoji Movie","Three Stars","AHL","Just okay according to the kids. Didn't want to finish it.","3.0 "
"The Emoji Movie","Ridiculous","Vic P.","My child liked it, but it was not enjoyable for me.","2.0 "
"The Emoji Movie","Two Stars","Kimberly M. Amereihn","Best price and shipping, kids were not into it tho.","2.0 "
"The Emoji Movie","I didn't like the story of the movie","Jennifer Beveridge","I didn't like the story of the movie. I fell asleep after 30 mins of watching, and my kids said they didn't like it after finishing watching the movie. I wouldn't recommend it.","2.0 "
"The Emoji Movie","Three Stars","Scott","Just okay... Wish I would've rented first.","3.0 "
"The Emoji Movie","Kept the younger kids busy","P. Sanders","The movie was just OK. It kept my young granddaughters entertained so it served its purpose. Nothing special about it, certainly not going to win any awards. But it was OK.","3.0 "
"The Emoji Movie","Five Stars","Sally Kindelay","My kids enjoyed the show, and you can watch it as many times you can within a 48hour period!","5.0 "
"The Emoji Movie","Decent","DominqueX3","It's not the best ever, but it's worth watching.","4.0 "
"The Emoji Movie","It's really cute and fun and now one my daughters favorites","Crystal","It's a really cute movie, at first I thought how could they make a emoji movie interesting but they did it! It's really cute and fun and now one my daughters favorites.","5.0 "
"The Emoji Movie","Has good friendship morals","Erin","Parents will laugh a few times.  Has good friendship morals.","4.0 "
"The Emoji Movie","Five Stars","Katherine Groves","Bought as a gift and my daughter loves this movie","5.0 "
"The Emoji Movie","Bad","Janel M. Henderson","It's just bad","2.0 "
"The Emoji Movie","Three Stars","Gene T. Snow","dumb movie, kids even got board..","3.0 "
"The Emoji Movie","Another loud, obnoxious animated kids movie...","KLinPA","Enough said. It’s about all I could do to sit through it.","2.0 "
"The Emoji Movie","probably one of the worst cartoon movies I've seen in a while","Talian","My son ordered this, probably one of the worst cartoon movies I've seen in a while.","2.0 "
"The Emoji Movie","One Star","Koriand'r","Watched 5min and turned it off.","1.0 "
"The Emoji Movie","My children me mewatch this. The whole time I am thinking how ...","Jubal Harshaw","My children me me watch this. The whole time I am thinking how this just steals the essential plot device from Tron. I am not so sure it deserves three stars even as the whole process was at least somewhat painful. If you have a choice between this movie and having your perineum sandblasted, then, I would probably recommend The Emoji Movie. Do not take this as a ringing endorsement: sandblasting of the human body is really bad.","3.0 "
"The Emoji Movie","... thought it was a cute movie with a very good message that you shouldn't have to change for anyone ...","Carolyn Lundy Neumann","I thought it was a cute  movie with  a very good message  that you shouldn't have to change for anyone or anything  just to be yourself","5.0 "
"The Emoji Movie","Good ""be true to you"" movie","Stacia M.","Great kids flick- keeps their attention and had a good message. Its modernized so it even entertained my 14yr old liked it.","4.0 "
"The Emoji Movie","Five Stars","Kasia","Good movie","5.0 "
"The Emoji Movie","Five Stars","Amazon Customer","good deal","5.0 "
"The Emoji Movie","Five Stars","Calhoun79","good movie","5.0 "
"The Emoji Movie","Five Stars","Lovestoshop","Hilarious, family friendly film!","5.0 "
"The Emoji Movie","Five Stars","Amazon Customer","Love it","5.0 "
"The Emoji Movie","Four Stars","yossi berger","cute movie","4.0 "
"The Emoji Movie","Five Stars","Adam Cordero","Good item fast shipping","5.0 "
"The Emoji Movie","A fun movie to watch!","IntriguedReader","A fun movie to watch. And Steven Wright definitely has the voice pattern for the character he voices. Some hilarious moments.","4.0 "
"The Emoji Movie","MEH...get it??!?!!","Bill","LOLOL...Meh! Is the main character of this movie!5 stars because my kids loved it... me not so much, so Meh.","5.0 "
"The Emoji Movie","perfect for a rainy day","Salena S.","Cute movie, perfect for a rainy day. The jokes were funny and the storyline is relatable to the current tech era.","4.0 "
"The Emoji Movie","Five Stars","Amazon Customer","ok","5.0 "
"The Emoji Movie","Have watched it several times in the last few weeks ...","K. Landers","Have watched it several times in the last few weeks. Thankfully its free on Netflix now. One of my fav's!","5.0 "
"The Emoji Movie","Fell asleep","Roman G.","Not as bad as the reviews... Kids liked it, but I did fall asleep","3.0 "
"The Emoji Movie","Cool movie","Taylor","I bought this before realizing it was free on Netflix but I'm happy I bought it for when it's not on Netflix!","5.0 "
"The Emoji Movie","The Emoji Movie","Linda","Really a cute movie that I watched with my grandson's....they absolutely loved this movie!Happy Hunting!","5.0 "
"The Emoji Movie","My kids enjoyed it but didn't love it","kahlanne","My kids enjoyed it but didn't love it. Probably won't ask to watch often but it was a good family night movie.","3.0 "
"The Emoji Movie","Enjoyable movie","criticonthemove","Grand daughter and I love this movie. We saw it at the movies and again at home.","5.0 "
"The Emoji Movie","the animation was nice, but the movie was just blah","Ms.Yvonne","the animation was nice, but the movie was just blah. it was like they were trying too hard to pull on your strings & it just wasn't funny.","2.0 "
"The Emoji Movie","Five Stars","infinity862","Received item as promised, this item was a gift that was well received!","5.0 "
"The Emoji Movie","Boring","Yoly ;-)","Not for young kids, hard to follow the story, boring with no content.","3.0 "
"The Emoji Movie","Three Stars","DMann","not that good of a movie. everybody else i know that watched it dosent like it","3.0 "
"The Emoji Movie","it was actually pretty good considering I think Emoji's are way overrated","Amazon Customer","My 10 year old son loves this movie and surprisingly, it was actually pretty good considering I think Emoji's are way overrated!","5.0 "
"The Emoji Movie","Five Stars","Eme Y. Omo","The kid approves.","5.0 "
"The Emoji Movie","Three Stars","C. suarez","Painful for me to get through, but my nephew and niece loved it.","3.0 "
"The Emoji Movie","We like it!","Eric T.","My kids really like the movie. I saw parts of it and I thought it was really cute and a unique idea.","5.0 "
"The Emoji Movie","Three Stars","William B","This movie surprised me, I wouldn't have guessed it was fairly decent","3.0 "
"The Emoji Movie","Good Movie for Tween Kids","Amber","Not the best movie we have seen but it's a good movie for tween kids.","3.0 "
"The Emoji Movie","Good movie","Leisa J.","Good movie! My children love this movie and it has valuable lessons within.","5.0 "
"The Emoji Movie","Four Stars","Samuel","It is good movie but we like others like Big Hero 6 better.","4.0 "
"The Emoji Movie","Responsive!! 😊","Rae Wilson","These guys are great to work with!! Very responsive!! A ++++++ rating!!!!","5.0 "
"The Emoji Movie","Great Movie with lots of hidden humor and Emoji history","Architect82","Great Movie - My Kids love it and have watched it several times.","5.0 "
"The Emoji Movie","Four Stars","Kristin R. Wratten","This movie is great to have on, for background noise ;)","4.0 "
"The Emoji Movie","Five Stars","Jess","Such a cute movie! Definitely a mood lifter for anyone.","5.0 "
"The Emoji Movie","Grandkids Loved It","Amazon Customer","Strangely fascinating to my 2, 3 and 6 year old granddaughters and surprisingly tolerable for the adults.","5.0 "
"The Emoji Movie","Dangit!","Dustin","We only rented the movie based on the overwhelming poor reviews, but the kids loved it and our daughter was heartbroken when she found out we didn't actually buy it.","4.0 "
"The Emoji Movie","Fun","Peggy Lee, RKMS","Fun family movie.  My six year old enjoyed it.","4.0 "
"The Emoji Movie","Its okay","Danielle","My son begged me to watch it. Half way through he said it was boring","3.0 "
"The Emoji Movie","Cute","momof2homeschool","Super silly. Not much substance. Cute for kids movie night.","5.0 "
"The Emoji Movie","Four Stars","Humberto","Is nice nice movie for children!","4.0 "
"The Emoji Movie","Five Stars","Amazon Customer","son's favorite movie right now.","5.0 "
"The Emoji Movie","5 stars!!","Kanada211","This was a cute family movie.. all my kids loved it. .","5.0 "
"The Emoji Movie","Good movie","tina","OMG my daughter and I just love this movie arrival was fast","5.0 "
"The Emoji Movie","Fun Movie","Cheryl Jerabek","Really cute for the kids.  A hit on Family Movie Night!","5.0 "
"The Emoji Movie","One Star","hannah","Aweful movie","1.0 "
"The Emoji Movie","Kids loved it!","Michelle P","For an adult thought it was okay but kids loved it.","5.0 "
"The Emoji Movie","Good kids show","Nancy","Good kids show.  Unfortunately this is my 2nd copy I have bought.  My 2 year old broke the 1st one in half.","4.0 "
"The Emoji Movie","Cute Movie","Mama Etefia","Reminded me of Wreck it Ralph, good family movie night.","5.0 "
"The Emoji Movie","The kids love it.","GRM","The adults in the family didn't love it, but the kids do.","5.0 "
"The Emoji Movie","Great for young kids","Kathleen T.","My son LOVES this movie.","5.0 "
